source_key	label_family	structure	variant_set	scorer_or_generator	processed_csv	parent_csv	n_rows	prepare_argument	used_in_current_manuscript	notes
ROSETTA_MDMATCH	ROSETTA_MDMATCH (MD-matched variant set)	4IDL	restricted to MD_FEP400K variant set (431/406)	ROSETTA	data/source_labels/rosetta/measured/4idl_rosettaddg_mdmatch_processed.csv		406	--ddg-source ROSETTA_MDMATCH	yes	Matched-set variant for the all-source-matched Fig2/3 comparison; scaled01 identical to full set.
THERMOMPNN_MDMATCH	THERMOMPNN_MDMATCH (MD-matched variant set)	1MEL	restricted to MD_FEP400K variant set (431/406)	THERMOMPNN	data/source_labels/thermompnn/1melMPNN2_mdmatch_processed.csv		431	--ddg-source THERMOMPNN_MDMATCH	no	Matched-set variant for the all-source-matched Fig2/3 comparison; scaled01 identical to full set.; retired: FoldX replaced ThermoMPNN in the current manuscript
THERMOMPNN_MDMATCH	THERMOMPNN_MDMATCH (MD-matched variant set)	4IDL	restricted to MD_FEP400K variant set (431/406)	THERMOMPNN	data/source_labels/thermompnn/4idlMPNN2_mdmatch_processed.csv		406	--ddg-source THERMOMPNN_MDMATCH	no	Matched-set variant for the all-source-matched Fig2/3 comparison; scaled01 identical to full set.; retired: FoldX replaced ThermoMPNN in the current manuscript
MD_FEP400K	MD native-contact Q (ΔQ vs WT crystal, fep_md_400k study)	1MEL	single-mutant variants, 400K MD, final-30ns window	OpenMM 400K MD + backbone Best-Hummer Q, wild-type crystal reference (scripts/recompute_common_md_q.py --reference wt_crystal)	data/source_labels/md_fep400k/1mel_mdq_processed.csv	data/source_labels/md_fep400k/1mel_mdq.csv	431	--ddg-source MD_FEP400K	yes	Backbone Q over final 30 ns, referenced to the shared wild-type crystal chain (reference N). ddg_scaled01 (min-max) feeds training and is invariant to the WT baseline. Set 'used_in_current_manuscript' to 'no' to disable.
MD_FEP400K	MD native-contact Q (ΔQ vs WT crystal, fep_md_400k study)	4IDL	single-mutant variants, 400K MD, final-30ns window	OpenMM 400K MD + backbone Best-Hummer Q, wild-type crystal reference (scripts/recompute_common_md_q.py --reference wt_crystal)	data/source_labels/md_fep400k/4idl_mdq_processed.csv	data/source_labels/md_fep400k/4idl_mdq.csv	406	--ddg-source MD_FEP400K	yes	Backbone Q over final 30 ns, referenced to the shared wild-type crystal chain (reference N). ddg_scaled01 (min-max) feeds training and is invariant to the WT baseline. Set 'used_in_current_manuscript' to 'no' to disable.
FIG3_MD	Fig3 matched-variant feature (MD)	1MEL	MD_FEP400K 421/389 set, common seq order	reindexed to identical order for matched subsets	data/source_labels/fig3_matched/MD_1mel.csv		421	--ddg-source FIG3_MD	yes	Fig3 feature comparison, exact-matched variants+subsets
FIG3_MD	Fig3 matched-variant feature (MD)	4IDL	MD_FEP400K 421/389 set, common seq order	reindexed to identical order for matched subsets	data/source_labels/fig3_matched/MD_4idl.csv		389	--ddg-source FIG3_MD	yes	Fig3 feature comparison, exact-matched variants+subsets
FIG3_FEP	Fig3 matched-variant feature (FEP)	1MEL	MD_FEP400K 421/389 set, common seq order	reindexed to identical order for matched subsets	data/source_labels/fig3_matched/FEP_1mel.csv		421	--ddg-source FIG3_FEP	yes	Fig3 feature comparison, exact-matched variants+subsets
FIG3_FEP	Fig3 matched-variant feature (FEP)	4IDL	MD_FEP400K 421/389 set, common seq order	reindexed to identical order for matched subsets	data/source_labels/fig3_matched/FEP_4idl.csv		389	--ddg-source FIG3_FEP	yes	Fig3 feature comparison, exact-matched variants+subsets
FIG3_ROS	Fig3 matched-variant feature (ROSETTA)	1MEL	MD_FEP400K 421/389 set, common seq order	reindexed to identical order for matched subsets	data/source_labels/fig3_matched/ROS_1mel.csv		421	--ddg-source FIG3_ROS	yes	Fig3 feature comparison, exact-matched variants+subsets
FIG3_ROS	Fig3 matched-variant feature (ROSETTA)	4IDL	MD_FEP400K 421/389 set, common seq order	reindexed to identical order for matched subsets	data/source_labels/fig3_matched/ROS_4idl.csv		389	--ddg-source FIG3_ROS	yes	Fig3 feature comparison, exact-matched variants+subsets
FIG3_TMPNN	Fig3 matched-variant feature (TMPNN)	1MEL	MD_FEP400K 421/389 set, common seq order	reindexed to identical order for matched subsets	data/source_labels/fig3_matched/TMPNN_1mel.csv		421	--ddg-source FIG3_TMPNN	no	Fig3 feature comparison, exact-matched variants+subsets; retired: FoldX replaced ThermoMPNN in the current manuscript
FIG3_TMPNN	Fig3 matched-variant feature (TMPNN)	4IDL	MD_FEP400K 421/389 set, common seq order	reindexed to identical order for matched subsets	data/source_labels/fig3_matched/TMPNN_4idl.csv		389	--ddg-source FIG3_TMPNN	no	Fig3 feature comparison, exact-matched variants+subsets; retired: FoldX replaced ThermoMPNN in the current manuscript
FIG3_FOLDX	Fig3 matched-variant feature (FoldX)	1MEL	MD_FEP400K 421/389 set, common seq order	reindexed to identical order for matched subsets	data/source_labels/fig3_matched/FOLDX_1mel.csv		421	--ddg-source FIG3_FOLDX	yes	Fig3 feature comparison, exact-matched variants+subsets
FIG3_FOLDX	Fig3 matched-variant feature (FoldX)	4IDL	MD_FEP400K 421/389 set, common seq order	reindexed to identical order for matched subsets	data/source_labels/fig3_matched/FOLDX_4idl.csv		389	--ddg-source FIG3_FOLDX	yes	Fig3 feature comparison, exact-matched variants+subsets
DESIGN_SCAN_1MEL	Fig2 data-design pool (MD hydrophilic Q)	1MEL	single mutation scan, aligned 10-40 ns window	aligned hydrophilic-contact Q vs parent equilibration structure	data/source_labels/md_design_aligned/scan_ownframe0_1mel.csv	data/md/aligned_hphil_q/scan_1mel.csv	421	DESIGN_DATA_DIR=data/source_labels/md_design_aligned scripts/run_design_comparison.py	yes	Fig2 single mutation scan pool; scan_ownframe0_pool.csv is the 50:50 1MEL/4IDL pool
DESIGN_SCAN_4IDL	Fig2 data-design pool (MD hydrophilic Q)	4IDL	single mutation scan, aligned 10-40 ns window	aligned hydrophilic-contact Q vs parent equilibration structure	data/source_labels/md_design_aligned/scan_ownframe0_4idl.csv	data/md/aligned_hphil_q/scan_4idl.csv	389	DESIGN_DATA_DIR=data/source_labels/md_design_aligned scripts/run_design_comparison.py	yes	Fig2 single mutation scan pool
DESIGN_HETERO	Fig2 data-design pool (MD hydrophilic Q)	SAbDab panel	heterogeneous nanobody panel, aligned 10-40 ns window	aligned hydrophilic-contact Q vs parent equilibration structure	data/source_labels/md_design_aligned/hetero_backbone_qc.csv	data/md/aligned_hphil_q/hetero.csv	763	DESIGN_DATA_DIR=data/source_labels/md_design_aligned scripts/run_design_comparison.py	yes	Fig2 heterogeneous pool after trajectory/length/contact QC
